feature,weight
your,4.5527383879500665
has_url,3.51870146950031
here,3.051372058528306
watch,2.7637818099120075
health,2.5173399242236463
account,2.311626714980721
now,2.186756652213584
email,1.9756261914131235
site,1.8968627165913903
read,1.8024385311036648
money,1.7844185037055686
dear,1.7398610699705406
c1,1.7365876119436812
di,1.7282464323908473
fund,1.7207866760942654
bank,1.6975595810745163
medication,1.658196989884296
product,1.6517759928587248
click,1.6503649232890476
click here,1.6500972347158367
